塔名,现代省份,现代城市,现代区县,辽代五京/道,辽代州府,辽代县,经度,纬度,LPSL编码,建造时期,塔类型,平面形状,层数,修建目的,环境类型
黄花滩塔,辽宁省,朝阳市,朝阳县,中京道,兴中府,,120.115131,41.444072,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e7-e6/e8)(e9/e10)-f-h-g[num=2](e1-g8)-r-h-g[num=2](e1-g8)-r-i,辽,密檐塔,8角形,13,风水镇物,田园
东塔山塔,辽宁省,朝阳市,朝阳县,中京道,懿州,,122.304747,42.128322,a-b-h-r-b-h-r-b-h-r-b-h-r-b-h-r-b-h-r-b-h-r-b-h-r-b-h-r-d[type=d1]-e[col=e4](e6-e9-e6/e18-e10-e18)(e14-e14-e14/e8)-f-k-d[type=d1]-g[num=2](g1-g8)-h-i,辽,密檐塔,8角形,9,风水镇物,田园
塔山塔,辽宁省,朝阳市,朝阳县,中京道,,,119.307161,41.225953,a-b-h-r-b-h-r-b-h-r-b-h-r-b-h-r-b-h-r-b-h-r-b-h-r-b-h-r-d[type=d1]-e[col=e1](e8)(e11)-h-k-d[type=d1]-g[num=2](e1-g8)-i,辽,密檐塔,8角形,10,风水镇物,一般旷野
朝阳北塔,辽宁省,朝阳市,双塔区,中京道,兴中府,,120.456358,41.579272,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e9-e6-e9-e6/e15-e18-e10-e18-e15)-r-b-r-b-g[num=6](e1-g10)-r-i,,密檐塔,4角形,13,风水镇物,一般旷野
朝阳南塔,辽宁省,朝阳市,双塔区,中京道,兴中府,,120.453297,41.572986,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e9/e8)-f-b-g[num=5](e1-g10)-r-h-g[num=5](e1-g10)-h-i,,密檐塔,4角形,13,风水镇物,一般旷野
青峰塔,辽宁省,朝阳市,朝阳县,中京道,兴中府,,120.546333,41.324536,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e9-e6/e15-e18-e10-e18-e15)-f-h-g[num=3](e1-g9)-h-g[num=5](e1-g8)-h-k-h-g[num=4](e1-g10)-i-l,辽,密檐塔,4角形,13,风水镇物,田园
塔营子塔,辽宁省,朝阳市,北票市,中京道,,,122.055303,42.433992,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e16-e6/e14-e9-e14/e18-e8-e18)-f-k-d[type=d1]-g[num=3](e1-g8)-r-h-g[num=3](e1-g8)-h-i,,密檐塔,8角形,13,风水镇物,古城遗址
大宝塔,辽宁省,朝阳市,朝阳县,中京道,兴中府,,120.497225,41.545269,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e9-e6-e9-e6-e9/e15-e10-e15)-h-g[num=3](e1-g10)-b-i,辽,密檐塔,4角形,13,风水镇物,田园
磨石沟塔,辽宁省,朝阳市,朝阳县,中京道,严州,,120.559214,40.604678,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e9/e8)-f-h-f-i,辽,密檐塔,8角形,9,风水镇物,田园
辽滨塔,辽宁省,沈阳市,新民市,东京道,,,123.060272,42.134372,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e9-e6/e18-e8-e18)-f-k-d[type=d1]-g[num=3](e1-g9)-h-j-h-g[num=3](e1-g9)-h-i,,密檐塔,8角形,13,风水镇物,水域周边
云接寺塔,辽宁省,朝阳市,双塔区,中京道,兴中府,,120.50555,41.534369,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e9-e6-e9-e6-e9/e15-e18-e10-e18-e15)-f-h-g[num=6](e1-g8)-n-i,辽,密檐塔,4角形,13,供奉佛像,一般旷野
高尔山塔,辽宁省,抚顺市,顺城区,东京道,,,123.901833,41.888469,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e9/e8)-i,,密檐塔,8角形,9,风水镇物,现代城镇
塔湾塔,辽宁省,辽阳市,辽阳县,东京道,东京辽阳府,,123.562972,40.972944,a-b-h-r-b-h-r-b-h-r-b-h-r-b-h-r-b-h-r-d[type=d1]-e[col=e1](e9/e6-e6/e10)-f-k-m-d[type=d1]-g[num=2](e1-g8)-i,辽,密檐塔,8角形,7,风水镇物,田园
崇兴寺西塔,辽宁省,锦州市,北镇市,东京道,,,121.795286,41.604008,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e6/e9-e9-e9/e10-e8-e10)-f-k-k-d[type=d1]-g[num=3](e1-g9)-h-g[num=3](e1-g8)-h-i,辽,密檐塔,8角形,13,供奉佛像,一般旷野
崇兴寺东塔,辽宁省,锦州市,北镇市,东京道,,,121.795286,41.604008,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e6/e9-e9-e9/e10-e8-e10)-f-k-k-d[type=d1]-g[num=3](e1-g9)-h-g[num=3](e1-g8)-h-i,辽,密檐塔,8角形,13,供奉佛像,一般旷野
